,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8
73,Markowitz,0.005282076304629226,39,40,0.00043046572424765284,6.825542725637235e-09,0.4407431133221645,0.36552642095358795,0.19373046572424765
74,Markowitz,0.0052821458330060645,40,40,0.0022120915536152364,7.635391956455767e-08,0.43888790844638476,0.36708709687530094,0.19402499467831433
75,Markowitz,0.0052820717053962095,40,40,0.00041952903424630206,2.2263097095021056e-09,0.4415195290342463,0.3653048754160904,0.19317559554966326
76,Markowitz,0.005282104232395032,34,40,0.0013748150498944789,3.475330853219133e-08,0.44160823448626224,0.3664665805636323,0.19192518495010552
77,Markowitz,0.005282236394168856,37,40,0.0026190464336837416,1.669150823556051e-07,0.43991995320634675,0.3641610003599695,0.19591904643368374
78,Markowitz,0.005282249959696321,35,40,0.0029175854325256267,1.804806098208364e-07,0.43818241456747437,0.3663687043799073,0.19544888105261835
79,Markowitz,0.005282196151044214,40,40,0.0023583393645718043,1.266719577138961e-07,0.4411674993087911,0.36789084005578065,0.1909416606354282
80,Markowitz,0.005282350451145218,25,40,0.0034279683456981958,2.809720587183123e-07,0.43978230971616844,0.3634897219381331,0.1967279683456982
81,Markowitz,0.005282090069583928,40,40,0.0012097399963892363,2.0590497427745713e-08,0.44230973999638923,0.36479550605822325,0.1928947539453876
82,Markowitz,0.005282235215128836,38,40,0.0030279697845325693,1.6573604233634243e-07,0.44050952159316004,0.36862796978453255,0.19086250862230722
83,Markowitz,0.005282112410400766,40,40,0.001217941347727125,4.293131426573449e-08,0.44114208986415276,0.36438205865227286,0.19447585148357452
84,Markowitz,0.005282134485702126,40,40,0.0018778248264517128,6.500661562606341e-08,0.4417636480176869,0.36372217517354827,0.19451417680876484
85,Markowitz,0.005282103654737511,36,40,0.0011168820511147093,3.4175651011415786e-08,0.4407344879888447,0.36484862996004064,0.1944168820511147
86,Markowitz,0.005282291626506563,39,40,0.003961773512899447,2.2214742006337884e-07,0.43790908558493025,0.3695617735128994,0.19252914090217038
87,Markowitz,0.005282127840532371,39,40,0.0014126369371991465,5.83614458713258e-08,0.441062544717274,0.3642248183455269,0.19471263693719915
88,Markowitz,0.005282095672645485,40,40,0.0012833535915144356,2.619355898500486e-08,0.43981664640848556,0.3667454644982692,0.1934378890932449
89,Markowitz,0.005282096231696992,31,40,0.0009681951247446918,2.675261049234906e-08,0.4408484704361363,0.3648833344391191,0.1942681951247447
