,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8
35,Markowitz,0.005284393471912059,6,20,0.011828260059169426,2.323992825559e-06,0.4529282600591694,0.35438721215574437,0.19268452778508627
36,Markowitz,0.005282842085100191,6,20,0.007258355948816464,7.726060136910642e-07,0.43502531642124825,0.37285835594881644,0.1921163276299353
37,Markowitz,0.005301088474969921,6,20,0.03640429643017379,1.9018995883420854e-05,0.42249127405132797,0.40200429643017377,0.1755044295184982
38,Markowitz,0.005282069144135983,10,20,0.00012148120375163329,3.3495051697529643e-10,0.4411335959530176,0.36568788525073415,0.19317851879624837
39,Markowitz,0.005285036610928484,6,20,0.01332967201088614,2.967131841983932e-06,0.45394764614587063,0.35227032798911384,0.19378202586501558
40,Markowitz,0.005291461132133731,6,20,0.025689323138211928,9.391653047230962e-06,0.4213207382176895,0.3912893231382119,0.18738993864409859
41,Markowitz,0.005297412180925833,6,20,0.03242032299052122,1.5342701839332964e-05,0.4255204929550327,0.3980203229905212,0.17645918405444608
42,Markowitz,0.0052861013997148355,6,20,0.016556998858579697,4.031920628335545e-06,0.4273596576139968,0.3821569988585797,0.19048334352742355
43,Markowitz,0.005286746939833008,6,20,0.014760310991491388,4.677460746507593e-06,0.4263396890085086,0.36873672652057615,0.20492358447091524
44,Markowitz,0.005282277780643823,6,20,0.0038452886243195983,2.083015573231886e-07,0.4380238348449992,0.3694452886243196,0.19253087653068127
45,Markowitz,0.005283319819036488,6,20,0.009467165079626971,1.2503399499878137e-06,0.4340401321987892,0.37506716507962695,0.19089270272158387
46,Markowitz,0.005282069144135679,10,20,0.00012146128779161325,3.3495082141926646e-10,0.4411334524670567,0.365688008820735,0.1931785387122084
47,Markowitz,0.005282072386142808,6,20,0.0004425824790083577,2.907056308350253e-09,0.44154258247900835,0.3652321172374243,0.1932253002835673
48,Markowitz,0.005282430984504834,6,20,0.004952792718540433,3.615054183338587e-07,0.43688387188741923,0.3705527927185404,0.19256333539404039
49,Markowitz,0.005282323146803626,6,20,0.004153933101866181,2.5366771712592023e-07,0.43755738310124975,0.36975393310186616,0.19268868379688414
50,Markowitz,0.005293920780549878,6,40,0.027272589668809633,1.1851301463377921e-05,0.4310084897397257,0.3928725896688096,0.17611892059146478
51,Markowitz,0.005282069144135707,10,40,0.00012144031870384153,3.349507927963291e-10,0.44113353923295695,0.36568790108574695,0.19317855968129616
52,Markowitz,0.005304316393049394,6,40,0.04005137818742843,2.2246913962894153e-05,0.4139297665383689,0.4056513781874284,0.18041885527420276
53,Markowitz,0.005304724194396706,6,40,0.04039065749285109,2.265471531020559e-05,0.41333754899494685,0.40599065749285107,0.18067179351220203
54,Markowitz,0.005292870469625433,6,40,0.02568552824995657,1.080099053893304e-05,0.46678552824995656,0.34171404266620803,0.19150042908383533
55,Markowitz,0.0052893787429731795,6,40,0.021237448099139855,7.309263886679483e-06,0.46233744809913985,0.3461606566067557,0.19150189529410455
56,Markowitz,0.005282069144135744,10,40,0.00012146843292093479,3.349507563671361e-10,0.4411335271954218,0.3656879412374991,0.19317853156707906
