,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7
2349,camel_3,4.8985222843609216e-141,414,80000,6.974674390382938e-71,4.8985222843609216e-141,3.53530197920992e-71,-6.974674390382938e-71
2350,camel_3,2.970946658618462e-141,471,80000,4.090250633966422e-71,2.970946658618462e-141,4.090250633966422e-71,-1.3880837269564679e-71
2351,camel_3,1.5978974380588443e-138,524,80000,1.3449888656891269e-69,1.5978974380588443e-138,2.4956743119358648e-70,-1.3449888656891269e-69
2352,camel_3,1.2482531266761011e-139,176,80000,2.6701447429493025e-70,1.2482531266761011e-139,-2.6701447429493025e-70,1.4099296171918539e-70
2353,camel_3,2.181312768736504e-138,433,80000,1.021724390222232e-69,2.181312768736504e-138,1.021724390222232e-69,8.449609363631382e-71
2354,camel_3,1.3861472740078679e-139,488,80000,2.3067786293206186e-70,1.3861472740078679e-139,1.5686955811782917e-70,2.3067786293206186e-70
2355,camel_3,9.83110296251377e-141,484,80000,1.0434998988486199e-70,9.83110296251377e-141,-3.8402074649590736e-71,1.0434998988486199e-70
2356,camel_3,3.767861229236454e-139,336,80000,4.637055751015777e-70,3.767861229236454e-139,4.637055751015777e-70,-2.0957909773193064e-70
2357,camel_3,4.1906878031524596e-140,524,80000,1.0272912327433898e-70,4.1906878031524596e-140,1.0213157672217559e-70,1.0272912327433898e-70
2358,camel_3,4.0134922565392513e-137,608,80000,5.995790408216485e-69,4.0134922565392513e-137,-5.84211990192632e-70,-5.995790408216485e-69
2359,camel_3,5.025394772524805e-142,553,80000,1.2131200496305976e-71,5.025394772524805e-142,1.0637774204679832e-71,1.2131200496305976e-71
2360,camel_3,3.502151640714304e-138,451,80000,1.3227472783418249e-69,3.502151640714304e-138,-1.3227472783418249e-69,-2.1367274271305305e-72
2361,camel_3,1.8781896512674628e-140,440,80000,1.0109546139686378e-70,1.8781896512674628e-140,-1.0109546139686378e-70,2.0608041966812216e-71
2362,camel_3,3.30540777241514e-137,447,80000,4.342701436534693e-69,3.30540777241514e-137,-4.342701436534693e-69,2.3965842240131574e-69
